title,image_file,true_labels,description,labels_list,oversample_factor,category
Superhero burpee,Superhero_burpee.jpg,Superhero burpee,The superhero burpee is an advanced variation of the burpee exercise. The main difference between this and the standard burpee is that while on the floor,['Superhero burpee'],2,weight_loss
30 Bosu Cable Reverse Crunch,30_Bosu_Cable_Reverse_Crunch.jpg,30 Bosu Cable Reverse Crunch,No description available.,['30 Bosu Cable Reverse Crunch'],2,weight_loss
Natural Glute Ham Raise with Stability Ball,Natural_Glute_Ham_Raise_with_Stability_Ball.jpg,Natural Glute Ham Raise with Stability Ball,No description available.,['Natural Glute Ham Raise with Stability Ball'],2,muscle_gain
Bench barbell roll-out,Bench_barbell_rollout.jpg,Bench barbell rollout,The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.,['Bench barbell rollout'],2,muscle_gain
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
30 Cable Reverse Crunch On Ball,30_Cable_Reverse_Crunch_On_Ball.jpg,30 Cable Reverse Crunch On Ball,The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys,['30 Cable Reverse Crunch On Ball'],2,weight_loss
Partner target sit-up,Partner_target_situp.jpg,Partner target situp,The partner target sit-up is a core exercise where one partner performs sit-ups,['Partner target situp'],2,muscle_gain
Incline Bench Press,Incline_Bench_Press.jpg,Incline Bench Press,The Incline Bench Press is a compound upper-body exercise that primarily targets the upper portion of the pectoralis major (upper chest). It is performed on an inclined bench (usually set at 30-45 degrees) using a barbell or dumbbells.,['Incline Bench Press'],2,muscle_gain
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
MetaBurn Alternating Knee-to-Elbow Mountain Climber,MetaBurn_Alternating_KneetoElbow_Mountain_Climber.jpg,MetaBurn Alternating KneetoElbow Mountain Climber,No description available.,['MetaBurn Alternating KneetoElbow Mountain Climber'],2,muscle_gain
Alternating Exercise Ball Knee Tucks - Gethin Variation,Alternating_Exercise_Ball_Knee_Tucks__Gethin_Variation.jpg,Alternating Exercise Ball Knee Tucks  Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,['Alternating Exercise Ball Knee Tucks  Gethin Variation'],2,strength_training
Band Hip Adductions,Band_Hip_Adductions.jpg,Band Hip Adductions,No description available.,['Band Hip Adductions'],2,muscle_gain
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Suspended oblique crunch,Suspended_oblique_crunch.jpg,Suspended oblique crunch,The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core,['Suspended oblique crunch'],2,weight_loss
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Partner resistance standing twist,Partner_resistance_standing_twist.jpg,Partner resistance standing twist,The partner resistance standing twist is a bodyweight exercise in which one partner performs bodyweight twists while the other provides manual resistance. It targets the muscles of the core,['Partner resistance standing twist'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Plank G,Plank_G.jpg,Plank G,The Plank is a core-strengthening isometric exercise that engages the abdominal muscles lower back shoulders and glutes. It is a staple in fitness routines for improving core stability endurance and posture.,['Plank G'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Chin-up crunch,Chinup_crunch.jpg,Chinup crunch,The chin-up crunch is an exercise targeting the core and overall upper-body strength. It combines a chin-up with a knee raise or crunch to give extra emphasis to the core.,['Chinup crunch'],2,strength_training
30 Cable Rope Oblique Crunch,30_Cable_Rope_Oblique_Crunch.jpg,30 Cable Rope Oblique Crunch,The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or six-pack muscles,['30 Cable Rope Oblique Crunch'],2,weight_loss
Burpee over kettlebell,Burpee_over_kettlebell.jpg,Burpee over kettlebell,The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements,['Burpee over kettlebell'],2,weight_loss
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Elbow-to-knee crunch,Elbowtoknee_crunch.jpg,Elbowtoknee crunch,The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles,['Elbowtoknee crunch'],2,weight_loss
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Decline Crunch,Decline_Crunch.jpg,Decline Crunch,The decline crunch is an effective core exercise targeting the rectus abdominis.,['Decline Crunch'],2,weight_loss
Plank G,Plank_G.jpg,Plank G,The Plank is a core-strengthening isometric exercise that engages the abdominal muscles lower back shoulders and glutes. It is a staple in fitness routines for improving core stability endurance and posture.,['Plank G'],2,strength_training
Crunch,Crunch.jpg,Crunch,The crunch is a popular core exercise targeting the rectus abdominis or six-pack muscles as well as the obliques. It has been the centerpiece of many ab-focused workouts due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.,['Crunch'],2,weight_loss
V-up,Vup.jpg,Vup,The V-up is a bodyweight movement that targets the muscles of the abs,['Vup'],2,muscle_gain
Dumbbell spell caster,Dumbbell_spell_caster.jpg,Dumbbell spell caster,The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However,['Dumbbell spell caster'],2,muscle_gain
Spider crunch,Spider_crunch.jpg,Spider crunch,The spider crunch is a core exercise that begins in a straight-arm plank position and involves raising one knee toward your same-side elbow to target the obliques. It is similar to a mountain climber,['Spider crunch'],2,weight_loss
Single-leg V-up,Singleleg_Vup.jpg,Singleleg Vup,The single-leg V-up is a bodyweight exercise that targets the abdominals and the hip flexors,['Singleleg Vup'],2,muscle_gain
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Cat-cow,Catcow.jpg,Catcow,Cat-cow is a traditional yoga pose that is also popular in fitness and strength training. It targets spinal mobility and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.,['Catcow'],2,strength_training
Alternating sit-through with crunch-,Alternating_sitthrough_with_crunch.jpg,Alternating sitthrough with crunch,The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps,['Alternating sitthrough with crunch'],2,weight_loss
Half bird dog,Half_bird_dog.jpg,Half bird dog,The half bird dog is a core exercise designed to strengthen the posterior chain. In the half bird dog,['Half bird dog'],2,strength_training
Alternating Exercise Ball Knee Tucks - Gethin Variation,Alternating_Exercise_Ball_Knee_Tucks__Gethin_Variation.jpg,Alternating Exercise Ball Knee Tucks  Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,['Alternating Exercise Ball Knee Tucks  Gethin Variation'],2,strength_training
Bosu Ball Cable Crunch With Side Bends,Bosu_Ball_Cable_Crunch_With_Side_Bends.jpg,Bosu Ball Cable Crunch With Side Bends,No description available.,['Bosu Ball Cable Crunch With Side Bends'],2,weight_loss
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Exercise ball roll-out,Exercise_ball_rollout.jpg,Exercise ball rollout,The exercise ball roll-out is an exercise that strengthens the core,['Exercise ball rollout'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Partner resistance standing twist,Partner_resistance_standing_twist.jpg,Partner resistance standing twist,The partner resistance standing twist is a bodyweight exercise in which one partner performs bodyweight twists while the other provides manual resistance. It targets the muscles of the core,['Partner resistance standing twist'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Feet-elevated crunch,Feetelevated_crunch.jpg,Feetelevated crunch,The feet-elevated crunch is a variation on the basic crunch,['Feetelevated crunch'],2,weight_loss
High-Pulley Cable Curl - Gethin Variation,HighPulley_Cable_Curl__Gethin_Variation.jpg,HighPulley Cable Curl  Gethin Variation,Also known as a crucifix curl,['HighPulley Cable Curl  Gethin Variation'],2,muscle_gain
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Russian Twist G,Russian_Twist_G.jpg,Russian Twist G,The Russian Twist is a core-strengthening exercise that primarily targets the obliques (side abs) while also engaging the rectus abdominis (six-pack muscles) and deep core stabilizers. It is commonly performed as a bodyweight movement but can be intensified using a medicine ball dumbbell or weighted plate.,['Russian Twist G'],2,strength_training
Tip-toe crunch,Tiptoe_crunch.jpg,Tiptoe crunch,The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.,['Tiptoe crunch'],2,weight_loss
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Crunch - Gethin Variation,Crunch__Gethin_Variation.jpg,Crunch  Gethin Variation,The crunch is a popular core exercise targeting the rectus abdominis,['Crunch  Gethin Variation'],2,weight_loss
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Kettlebell Windmill,Kettlebell_Windmill.jpg,Kettlebell Windmill,The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting,['Kettlebell Windmill'],2,strength_training
Seated bar twist,Seated_bar_twist.jpg,Seated bar twist,The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight such as an empty barbell a lightweight fixed-weight bar or even a PVC pipe. It can be performed during a workout at the end of a workout or outside of the gym to build core strength and resiliency.,['Seated bar twist'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Weighted donkey calf raise,Weighted_donkey_calf_raise.jpg,Weighted donkey calf raise,The weighted donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg,['Weighted donkey calf raise'],2,strength_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Seated Dumbbell Curl - Gethin Variation,Seated_Dumbbell_Curl__Gethin_Variation.jpg,Seated Dumbbell Curl  Gethin Variation,The seated dumbbell biceps curl is a standard exercise for building bigger biceps. While dumbbell biceps curls can be performed standing,['Seated Dumbbell Curl  Gethin Variation'],2,muscle_gain
Butterfly crunch,Butterfly_crunch.jpg,Butterfly crunch,The butterfly crunch is a popular bodyweight exercise that targets the rectus abdominis,['Butterfly crunch'],2,weight_loss
Seated bar twist,Seated_bar_twist.jpg,Seated bar twist,The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight such as an empty barbell a lightweight fixed-weight bar or even a PVC pipe. It can be performed during a workout at the end of a workout or outside of the gym to build core strength and resiliency.,['Seated bar twist'],2,strength_training
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
30 Gorilla Chin Oblique Crunch,30_Gorilla_Chin_Oblique_Crunch.jpg,30 Gorilla Chin Oblique Crunch,No description available.,['30 Gorilla Chin Oblique Crunch'],2,weight_loss
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Decline oblique crunch,Decline_oblique_crunch.jpg,Decline oblique crunch,The decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or six-pack muscles. It is usually performed for high reps,['Decline oblique crunch'],2,weight_loss
Decline reverse crunch,Decline_reverse_crunch.jpg,Decline reverse crunch,The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles,['Decline reverse crunch'],2,weight_loss
Palms-out incline biceps curl,Palmsout_incline_biceps_curl.jpg,Palmsout incline biceps curl,The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl,['Palmsout incline biceps curl'],2,muscle_gain
Kneeling cable crunch,Kneeling_cable_crunch.jpg,Kneeling cable crunch,The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or six-pack muscles,['Kneeling cable crunch'],2,weight_loss
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Slalom jumps,Slalom_jumps.jpg,Slalom jumps,The slalom jump is an explosive bodyweight exercise that targets the lower body,['Slalom jumps'],2,weight_loss
Swiss Ball Ab Roll-Out,Swiss_Ball_Ab_RollOut.jpg,Swiss Ball Ab RollOut,The exercise ball roll-out is an exercise that strengthens the core,['Swiss Ball Ab RollOut'],2,strength_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Cardio Jump Rope,Carido_Jump_Rope.jpg,Carido Jump Rope,Jumping rope makes you breathe hard and gets your heart pumping. In fact it's such an effective cardiovascular exercise that the American Heart Association created an entire event around it: Jump Rope for the Heart,['Carido Jump Rope'],2,weight_loss
30 Seated Twist With PVC Pipe,30_Seated_Twist_With_PVC_Pipe.jpg,30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,['30 Seated Twist With PVC Pipe'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Long sit-up,Long_situp.jpg,Long situp,The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso,['Long situp'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Medicine ball pass,Medicine_ball_pass.jpg,Medicine ball pass,The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back and forth. It can be part of a dynamic warm-up for lifting or athletics,['Medicine ball pass'],2,muscle_gain
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Standing cable crunch,Standing_cable_crunch.jpg,Standing cable crunch,The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or six-pack muscles,['Standing cable crunch'],2,weight_loss
Leg Raises,Leg_Raises.jpg,Leg Raises,The Hanging Leg Raise is an advanced core exercise that targets the lower abdominal muscles hip flexors and overall core stability. It is performed while hanging from a pull-up bar requiring both grip strength and core control.,['Leg Raises'],2,strength_training
Dumbbell crunch,Dumbbell_crunch.jpg,Dumbbell crunch,The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult,['Dumbbell crunch'],2,weight_loss
Hanging knee raise with manual resistance,Hanging_knee_raise_with_manual_resistance.jpg,Hanging knee raise with manual resistance,The hanging knee raise with manual resistance is a more advanced version of the hanging knee raise that utilizes a partner. The partner applies enough resistance to make the movement more difficult,['Hanging knee raise with manual resistance'],2,strength_training
30 Shoulder Tap,30_Shoulder_Tap.jpg,30 Shoulder Tap,The shoulder tap is an exercise targeting the abdominals and core. The basic stance matches the top of a push-up position. From there,['30 Shoulder Tap'],2,muscle_gain
AM Seated Hammer Curls,AM_Seated_Hammer_Curls.jpg,AM Seated Hammer Curls,The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail hence the name.,['AM Seated Hammer Curls'],2,muscle_gain
Barbell Biceps Curl,Barbell_Biceps_Curl.jpg,Barbell Biceps Curl,A strength exercise that targets the biceps using a barbell.,['Barbell Biceps Curl'],2,muscle_gain
Cardio StairMaster Machine,Cardio_StairMaster_Machine.jpg,Cardio StairMaster Machine,StairMaster provides a great cardio workout while also strengthening the main muscle groups in the lower body you're really getting two workouts in the time it takes to do one. As a result it will take you less time to see and feel the results of your new exercise routineStairMaster provides a great cardio workout while also strengthening the main muscle groups in the lower body you're really getting two workouts in the time it takes to do one. As a result it will take you less time to see and feel the results of your new exercise routine.,['Cardio StairMaster Machine'],2,strength_training
Machine crunch,Machine_crunch.jpg,Machine crunch,The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down against a pre-set level of resistance. On some machines,['Machine crunch'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
AM Ball Crunch,AM_Ball_Crunch.jpg,AM Ball Crunch,The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench,['AM Ball Crunch'],2,weight_loss
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Standing cable low-to-high twist,Standing_cable_lowtohigh_twist.jpg,Standing cable lowtohigh twist,The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control,['Standing cable lowtohigh twist'],2,muscle_gain
Cross-Body Crunch,CrossBody_Crunch.jpg,CrossBody Crunch,The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles,['CrossBody Crunch'],2,weight_loss
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Dead bug reach,Dead_bug_reach.jpg,Dead bug reach,The dead bug reach is an exercise for strengthening the core in which you alternate lowering your opposing arm and leg simultaneously,['Dead bug reach'],2,strength_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Cocoon crunch,Cocoon_crunch.jpg,Cocoon crunch,The cocoon crunch is a bodyweight exercise targeting the ab muscles,['Cocoon crunch'],2,weight_loss
Crab single-arm reach,Crab_singlearm_reach.jpg,Crab singlearm reach,The crab single-arm reach is a full-body exercise that requires maintaining a tabletop position while alternating arm raises. It is an excellent movement to include in a dynamic warm-up,['Crab singlearm reach'],2,muscle_gain
Standing Cable Crunch - Gethin Variation,Standing_Cable_Crunch__Gethin_Variation.jpg,Standing Cable Crunch  Gethin Variation,The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or six-pack muscles,['Standing Cable Crunch  Gethin Variation'],2,weight_loss
